height,width,area,max_row,min_row,mean,median,hw_ratio,burst
11,56,616,78,67,0.6244288394677805,0.4239751470703153,0.19642857142857142,0
15,101,1515,80,65,0.5576994198623151,0.3522554765720731,0.1485148514851485,0
66,208,13728,187,121,0.6728470297211357,0.3861570918741435,0.3173076923076923,1
44,78,3432,187,143,0.7381288406862924,0.3910531058442377,0.5641025641025641,1
45,77,3465,187,142,0.7288233308618595,0.5661798903024745,0.5844155844155844,1
89,314,27946,187,98,1.0348393732587529,0.6878769710214749,0.28343949044585987,1
42,119,4998,187,145,0.9333076469571561,0.37873092514091083,0.35294117647058826,1
115,139,15985,187,72,0.5840417211026817,0.2607833257379121,0.8273381294964028,1
70,132,9240,187,117,0.861158323087881,0.41086215175882657,0.5303030303030303,1
19,46,874,53,34,0.5089930293075445,0.12932559866767945,0.41304347826086957,1
12,62,744,177,165,0.4918378757269074,0.0,0.1935483870967742,0
21,95,1995,96,75,0.4387750809787121,0.10290822203133367,0.22105263157894736,0
35,216,7560,67,32,0.4404133089067744,0.09674425845183358,0.16203703703703703,0
14,85,1190,123,109,0.5634976440374648,0.1416555202601538,0.16470588235294117,0
21,108,2268,97,76,0.515949270478598,0.16181377793115873,0.19444444444444445,0
14,88,1232,176,162,0.5884788365008743,0.0,0.1590909090909091,0
19,54,1026,125,106,0.5582336474739087,0.00445834834297175,0.35185185185185186,0
17,56,952,156,139,0.5458223975278244,0.0811735010557225,0.30357142857142855,0
22,115,2530,98,76,0.49886476750185343,0.2002976444902403,0.19130434782608696,0
21,100,2100,97,76,0.5144266937889838,0.2208541657604233,0.21,0
40,89,3560,187,147,0.6318318617453974,0.41569897893282604,0.449438202247191,0
40,89,3560,187,147,0.6318318617453974,0.41569897893282604,0.449438202247191,1
13,53,689,153,140,0.5830904215898788,0.13105192312696543,0.24528301886792453,0
14,89,1246,178,164,0.756030683320205,0.0,0.15730337078651685,0
44,75,3300,187,143,0.607862707429548,0.4017873625359539,0.5866666666666667,0
44,75,3300,187,143,0.607862707429548,0.4017873625359539,0.5866666666666667,1
41,157,6437,187,146,0.5416144060171134,0.20105097326239152,0.2611464968152866,0
41,157,6437,187,146,0.5416144060171134,0.20105097326239152,0.2611464968152866,1
11,66,726,121,110,0.7100472327098576,0.04819212948774669,0.16666666666666666,0
41,85,3485,187,146,0.6502208605849917,0.4420834139071682,0.4823529411764706,0
41,85,3485,187,146,0.6502208605849917,0.4420834139071682,0.4823529411764706,1
133,200,26600,187,54,1.1041993133996117,0.7230352666818971,0.665,1
133,200,26600,187,54,1.1041993133996117,0.7230352666818971,0.665,0
103,147,15141,187,84,0.9125184874733512,0.6016697521465071,0.7006802721088435,0
103,147,15141,187,84,0.9125184874733512,0.6016697521465071,0.7006802721088435,1
32,24,768,187,155,0.4990559614270719,0.10002771553832983,1.3333333333333333,0
24,91,2184,98,74,0.5419148209560118,0.2356045584424607,0.26373626373626374,0
14,55,770,122,108,0.615220144292577,0.26174933573002157,0.2545454545454545,0
23,41,943,173,150,0.45002656722086853,0.0,0.5609756097560976,0
39,58,2262,187,148,0.5785605412051615,0.277238673290207,0.6724137931034483,0
102,178,18156,187,85,1.1557466006052357,0.8099397054855474,0.5730337078651685,0
102,178,18156,187,85,1.1557466006052357,0.8099397054855474,0.5730337078651685,1
33,100,3300,108,75,0.4885033327869496,0.2079199083345851,0.33,0
12,62,744,176,164,0.5798488225070949,0.5171697152129178,0.1935483870967742,0
65,151,9815,187,122,0.7306070222670185,0.45218328919865164,0.4304635761589404,0
65,151,9815,187,122,0.7306070222670185,0.45218328919865164,0.4304635761589404,1
23,87,2001,97,74,0.638023394376437,0.2992520231659194,0.26436781609195403,0
124,102,12648,187,63,0.9299639321900153,0.44167239998324925,1.2156862745098038,0
124,102,12648,187,63,0.9299639321900153,0.44167239998324925,1.2156862745098038,1
144,206,29664,187,43,1.3929239845210446,0.7649865257141358,0.6990291262135923,0
144,206,29664,187,43,1.3929239845210446,0.7649865257141358,0.6990291262135923,1
13,66,858,57,44,0.6258835082633938,0.408339124751186,0.19696969696969696,0
24,77,1848,187,163,0.7759841880684352,0.6282271759062289,0.3116883116883117,0
24,77,1848,187,163,0.7759841880684352,0.6282271759062289,0.3116883116883117,1
45,138,6210,187,142,0.7003654186037243,0.4110882331640214,0.32608695652173914,0
45,138,6210,187,142,0.7003654186037243,0.4110882331640214,0.32608695652173914,1
99,121,11979,187,88,0.8947714393749007,0.46791677983129365,0.8181818181818182,0
99,121,11979,187,88,0.8947714393749007,0.46791677983129365,0.8181818181818182,1
87,144,12528,187,100,0.8400044146369704,0.40680628828144805,0.6041666666666666,0
87,144,12528,187,100,0.8400044146369704,0.40680628828144805,0.6041666666666666,1
18,98,1764,95,77,0.6900868240201192,0.5110278431410941,0.1836734693877551,0
11,61,671,129,118,0.7267538161813929,0.2405388891929215,0.18032786885245902,0
16,47,752,133,117,0.6823827158392368,0.1846532035808307,0.3404255319148936,0
19,80,1520,97,78,0.718128571448586,0.4566889911102082,0.2375,0
12,54,648,179,167,0.7465088711422109,0.1522451855187334,0.2222222222222222,0
70,155,10850,187,117,0.666803509009023,0.3564345304828037,0.45161290322580644,1
70,155,10850,187,117,0.666803509009023,0.3564345304828037,0.45161290322580644,0
16,76,1216,95,79,0.5669184333128564,0.17994873380310752,0.21052631578947367,0
24,53,1272,187,163,0.7330322009796973,0.40101826998283513,0.4528301886792453,0
24,53,1272,187,163,0.7330322009796973,0.40101826998283513,0.4528301886792453,1
41,89,3649,187,146,0.6108345740445125,0.28589856905101135,0.4606741573033708,1
41,89,3649,187,146,0.6108345740445125,0.28589856905101135,0.4606741573033708,0
21,72,1512,95,74,0.7092798956977093,0.2981985961644749,0.2916666666666667,0
88,98,8624,187,99,0.9660834827574238,0.5187174462770832,0.8979591836734694,0
88,98,8624,187,99,0.9660834827574238,0.5187174462770832,0.8979591836734694,1
31,72,2232,187,156,0.6177044865565575,0.48150179915479263,0.4305555555555556,1
31,72,2232,187,156,0.6177044865565575,0.48150179915479263,0.4305555555555556,0
21,91,1911,186,165,0.5592867971914766,0.46051880848090093,0.23076923076923078,0
10,71,710,182,172,0.664141793993452,0.0932635596610964,0.14084507042253522,0
23,52,1196,157,134,0.6222655618068647,0.14698903838982333,0.4423076923076923,0
23,107,2461,99,76,0.536273046813174,0.18878206286441193,0.21495327102803738,0
18,69,1242,170,152,0.4427355127639962,0.0,0.2608695652173913,0
22,70,1540,175,153,0.49443373481241193,0.0,0.3142857142857143,0
14,69,966,157,143,0.4448918812544366,0.025392147274565357,0.2028985507246377,0
21,66,1386,54,33,0.4739102047206718,0.17689595602184235,0.3181818181818182,0
11,61,671,54,43,0.4431046222102135,0.16407995182921756,0.18032786885245902,0
19,64,1216,165,146,0.4838191703604475,0.05514227687704973,0.296875,0
41,102,4182,187,146,0.6190800086750687,0.26394501973589735,0.4019607843137255,1
89,122,10858,187,98,0.9476957992422158,0.5969622405245417,0.7295081967213115,1
56,107,5992,187,131,0.5775696063060785,0.22658445861718612,0.5233644859813084,1
45,116,5220,177,132,0.564618880855268,0.3362123828079488,0.3879310344827586,1
34,55,1870,177,143,0.4718763341017314,0.15353685660320218,0.6181818181818182,0
26,48,1248,173,147,0.3932054098164359,0.0,0.5416666666666666,1
26,48,1248,173,147,0.3932054098164359,0.0,0.5416666666666666,0
17,61,1037,182,165,0.5031574378351298,0.0,0.2786885245901639,0
12,63,756,122,110,0.48790786291462374,0.0,0.19047619047619047,0
12,73,876,122,110,0.46117222740514435,0.0,0.1643835616438356,0
37,80,2960,187,150,0.449848765226273,0.0,0.4625,0
14,53,742,123,109,0.42602178501221943,0.0,0.2641509433962264,0
